block,steth_pool_balance,eth_pool_balance
13089255,599155.3459202471,580476.0229421696
13089274,599167.2235418498,580464.155076305
13089381,599169.8236193307,580462.5563420432
13089394,599171.5477463552,580465.833608224
13089431,599175.6345415018,580467.7495622059
13089434,599178.0909415018,580465.2951813297
13089446,599178.4707890741,580467.9153413485
13089490,599216.9262956599,580438.1440093123
13089818,599344.3791143537,581439.5647389858
13090012,599327.3318539086,579974.890870527
13090227,599379.7640781337,580027.789259061
13090274,599382.2615761337,580025.2938678042
13090371,599383.2478709312,580274.1830070983
13090442,599392.2030286513,580265.2353317619
13090467,599405.2030286513,580252.2462032603
13090513,599410.2030286514,580247.2503875984
13090569,599416.5174839983,580244.9678241289
13090596,599425.6979850612,580235.8149941455
13090713,599427.1979342314,580195.2470961938
13090731,599428.1979342314,580194.2479355752
13090751,599448.1979342314,580113.0630816858
13090754,599458.1979342314,580103.0715131541
13090754,599458.1979342314,580103.0715131541
13090763,599466.6235353465,580094.6530212206
13090835,599472.9668726057,580088.3150393284
13091020,599577.211953159,580083.5355540663
13091022,599586.7235820147,580074.0319944063
13091104,599587.7403005197,580070.0154159975
13091131,599591.3206920035,580066.438064105
13091220,599597.6753104412,580060.0888425518
13091369,599599.1266017624,581016.5413904914
13091427,599602.2540017624,581013.4165466097
13091630,599542.3242464842,581009.5135956068
13092081,599538.2948018495,581088.3213283485
13092143,599540.3448018495,581086.2729947547
13092232,599546.4089224465,581080.2138052011
13092284,599556.59199123,581044.2986513113
13092363,599564.4231041508,581039.159857727
13092444,599570.6620761307,581029.7091663013
13092451,599602.283599654,581019.87539851
13092478,599702.2654267192,580919.9756104297
13092491,599902.4408406497,580719.9664445155
13092549,599904.1442645929,580719.0137450449
13092557,599904.1874455544,580718.9706002367
13092576,599904.8372926628,580721.3289511497
13092602,599913.7727888667,580712.4009383431
13092970,599929.2942182473,580699.4641615681
13093136,599930.1352911415,580678.4823918939
13093210,599952.112528664,580671.5220846592
13093346,599582.90078596,580273.9388290053
13093361,599571.8948033579,580284.9399510007
13093431,599677.9838753428,580300.7969487647
13093510,599692.9838753428,580285.8096160232
13093600,599710.9615540293,580352.8384510502
13093611,599725.9615540293,580337.8511081021
13093649,599745.9615540293,580317.8680074407
13093659,599724.6560700786,580339.1640074407
13093739,599727.9560563524,580336.1367799646
13093740,599731.4560563524,580332.63973586
13093767,599732.9890041339,580331.1080829732
13093776,599833.1090041338,580231.0729935765
13093827,599835.1056128287,580229.0780849592
13093834,599847.0813803772,580217.1125201308
13093857,599828.97295508,580234.7125201308
13093858,599823.6465518004,580240.0365201308
13093987,599831.7514734786,580196.4357958919
13094164,599834.3139305597,580401.6655116789
13094216,599849.3360499332,580401.799210808
13094266,599850.5949902227,580400.5413358558
13094414,599842.3484836346,580387.9401595826
13094527,599834.3329613814,580632.2281536254
13094541,599918.2721722588,580622.857318007
13094625,599941.0721722589,580586.0526760303
13094648,599946.0734328345,580581.0556320932
13094795,599946.5734328345,580579.8899495669
13094892,599946.851887254,580590.2371865299
13094935,599947.1850586954,580582.7737543505
13094968,599941.2006834336,580588.7554768705
13095019,599943.5999738895,580586.3582088761
13095026,599946.592420109,580583.3682856502
13095138,599949.325769166,580584.6344783767
13095159,599950.325769166,580583.6353216767
13095180,599951.524569166,580582.4375327124
13095181,599948.8702553198,580585.0906692588
13095275,599932.8631654348,580601.0906692588
13095278,599931.5166418073,580602.4365972588
13095297,599915.509570402,580618.4365972588
13095298,599925.3487949445,580608.6056509078
13095359,599926.607051329,580607.3484536161
13095402,599927.6142888786,580606.3420639489
13095425,599942.0997878787,580591.8687661538
13095469,600041.977842321,580492.075219049
13095476,600050.9288545721,580483.1318126618
13095509,600059.8634243803,580474.204840056
13095693,600079.8100440952,580454.6052286947
13095789,600081.5100440951,580452.9066770662
13095923,600081.0087402482,580474.6055997874
13096110,600100.2345567452,580470.5287889245
13096116,600300.2345567452,580270.7005294556
13096131,600700.2345567452,579871.0519860175
13096281,609760.2304848084,570821.8596032766
13096349,609750.5398716074,570831.5396032766
13096355,609741.7302286878,570840.3396032766
13096532,609762.2346165079,570824.8412230284
13096778,609810.2766799122,570882.8507877672
13096811,609822.2794653258,570880.8500300936
13096869,609831.674659378,570871.468884973
13096987,609841.3252597539,570870.6425893531
13096988,609328.7720301172,571382.6425893531
13097027,609335.7853582182,571375.6395149559
13097035,609326.575573534,571384.8395149559
13097041,609333.0763814957,571378.3482103137
13097380,609683.1025390653,571128.6808320878
13097571,609734.4022156568,570945.4150141922
13097760,609762.2085677247,570917.6078319247
13097933,609760.3215451434,570958.8265149321
13097966,609759.3201949636,570964.8262568777
13098179,606492.9137041457,567815.3612492179
13098394,606504.9066130129,567872.6835246792
13098461,606530.3608026722,567847.2673253235
13098479,606539.2174233493,567838.4239333145
13098517,607937.8173233493,566441.9790697491
13098626,607870.0877044781,566481.8526114463
13098636,607872.5506952303,566479.393522727
13098698,607883.1121488663,566469.4093426849
13098752,607884.6121488662,566467.9117203173
13098785,607887.1842274187,566465.343719088
13099063,607897.1832909533,566475.469517643
13099184,607902.1806781031,566519.8959033645
13099211,607901.0067877707,566520.9184739356
13099317,607906.3201919821,566517.9891918744
13099351,607906.3971514213,566517.9123543467
13099399,607908.3672514213,566515.9453753246
13099405,607909.3672514213,566514.9469595965
13099442,607903.4289735927,566522.2151242269
13099443,607905.5789735928,566520.0685296818
13099457,607897.5694883637,566528.0685296819
13099461,607898.1694883637,566527.4694797742
13099467,607921.4694883638,566504.2063937124
13099472,608321.4784763638,566104.8368178399
13099603,608320.9778694158,566105.3368178399
13099605,608321.1378694157,566105.177075742
13099626,608338.3260492267,566088.0166113595
13099628,608344.253155921,566082.0990665461
13099701,608250.1392018298,566176.0990665462
13099805,608255.1386835395,566181.1065837183
13099897,608279.7236164956,566415.7564664176
13100067,608292.1202914302,566528.3224089706
13100125,608296.9496293408,566523.5007806086
13100134,608298.9500022461,566521.5036015542
13100156,608299.1000022461,566521.3538410591
13100242,608304.3972388075,566516.0650635628
13100323,608308.0763097932,566515.3365027034
13100364,608308.5258097933,566493.0358826255
13100450,608317.2416989611,566473.5400995534
13100459,608318.4416989611,566472.3420183473
13100686,608120.9060731225,566449.5926738941
13100732,608324.7429705986,566645.7604708895
13100759,608324.7429232587,566645.4231092355
13100782,608340.6429232587,566629.5484499505
13100821,608323.4714835698,566644.5204087046
13100825,608324.3260400956,566643.6672136935
